"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3176","Создание курса","LMS system","Sun Mar 15 13:06:33 UTC 2026","passed","Sun Mar 15 13:06:36 UTC 2026","Courses","Courses","",""
"","3799","Вход пользователя с верными email и паролем","LMS system","Sun Mar 15 13:06:23 UTC 2026","passed","Sun Mar 15 13:06:27 UTC 2026","Authorization","Authentication","",""
"","2318","Вход пользователя с неверным email или паролем","LMS system","Sun Mar 15 13:06:23 UTC 2026","passed","Sun Mar 15 13:06:25 UTC 2026","Authorization","Authentication","",""
"","1899","Регистрация с валидными email, username и паролем","LMS system","Sun Mar 15 13:06:29 UTC 2026","passed","Sun Mar 15 13:06:31 UTC 2026","Registration","Authentication","",""
"","1756","Вход пользователя с неверным email или паролем","LMS system","Sun Mar 15 13:06:27 UTC 2026","passed","Sun Mar 15 13:06:29 UTC 2026","Authorization","Authentication","",""
"","4363","Редактирование курса","LMS system","Sun Mar 15 13:06:34 UTC 2026","passed","Sun Mar 15 13:06:38 UTC 2026","Courses","Courses","",""
"","1661","Проверка отображения пустого списка курсов","LMS system","Sun Mar 15 13:06:32 UTC 2026","passed","Sun Mar 15 13:06:33 UTC 2026","Courses","Courses","",""
"","2224","Вход пользователя с неверным email или паролем","LMS system","Sun Mar 15 13:06:26 UTC 2026","passed","Sun Mar 15 13:06:28 UTC 2026","Authorization","Authentication","",""
"","2284","Проверка отображения главной страницы (дашборда)","LMS system","Sun Mar 15 13:06:37 UTC 2026","passed","Sun Mar 15 13:06:39 UTC 2026","Dashboard","Dashboard","",""
"","1639","Переход со страницы авторизации на страницу регистрации","LMS system","Sun Mar 15 13:06:28 UTC 2026","passed","Sun Mar 15 13:06:30 UTC 2026","Authorization","Authentication","",""
